74.00, 98042.51, 688537.04, 1842.65, 957.08, 2.00, 0.00
75.00, 99884.64, 689490.51, 1841.61, 949.86, 2.00, 0.00
76.00, 101725.73, 690436.78, 1840.56, 942.68, 2.00, 0.00
77.00, 103565.76, 691375.87, 1839.50, 935.52, 2.00, 0.00
78.00, 105404.72, 692307.82, 1838.42, 928.38, 2.00, 0.00
79.00, 107242.60, 693232.65, 1837.33, 921.28, 2.00, 0.00
80.00, 109079.38, 694150.38, 1836.23, 914.20, 2.00, 0.00
81.00, 110915.05, 695061.05, 1835.11, 907.15, 2.00, 0.00
82.00, 112749.60, 695964.69, 1833.98, 900.12, 2.00, 0.00
83.00, 114583.01, 696861.30, 1832.84, 893.12, 2.00, 0.00
84.00, 116415.27, 697750.93, 1831.68, 886.15, 2.00, 0.00
85.00, 118246.37, 698633.60, 1830.51, 879.20, 2.00, 0.00
86.00, 120076.29, 699509.33, 1829.33, 872.27, 2.00, 0.00
87.00, 121905.03, 700378.16, 1828.14, 865.38, 2.00, 0.00
88.00, 123732.58, 701240.10, 1826.94, 858.51, 2.00, 0.00
89.00, 125558.91, 702095.18, 1825.72, 851.66, 2.00, 0.00
90.00, 127384.02, 702943.42, 1824.49, 844.84, 2.00, 0.00
91.00, 129207.89, 703784.86, 1823.25, 838.04, 2.00, 0.00
92.00, 131030.52, 704619.51, 1822.00, 831.27, 2.00, 0.00
93.00, 132851.90, 705447.41, 1820.74, 824.52, 2.00, 0.00
94.00, 134672.00, 706268.57, 1819.47, 817.80, 2.00, 0.00
95.00, 136490.82, 707083.01, 1818.18, 811.10, 2.00, 0.00
96.00, 138308.36, 707890.77, 1816.89, 804.43, 2.00, 0.00
97.00, 140124.59, 708691.87, 1815.58, 797.78, 2.00, 0.00
98.00, 141939.51, 709486.33, 1814.26, 791.15, 2.00, 0.00
99.00, 143753.11, 710274.18, 1812.93, 784.55, 2.00, 0.00
100.00, 145565.37, 711055.43, 1811.59, 777.97, 2.00, 0.00
101.00, 147376.29, 711830.12, 1810.24, 771.41, 2.00, 0.00
102.00, 149185.85, 712598.26, 1808.88, 764.88, 2.00, 0.00
103.00, 150994.05, 713359.88, 1807.51, 758.37, 2.00, 0.00
104.00, 152800.87, 714115.00, 1806.13, 751.88, 2.00, 0.00
105.00, 154606.31, 714863.65, 1804.74, 745.42, 2.00, 0.00
106.00, 156410.35, 715605.84, 1803.34, 738.97, 2.00, 0.00
107.00, 158212.99, 716341.61, 1801.93, 732.56, 2.00, 0.00
108.00, 160014.21, 717070.96, 1800.51, 726.16, 2.00, 0.00
109.00, 161814.00, 717793.93, 1799.08, 719.79, 2.00, 0.00
